"period","supervisor_district","battalion","incident_count","total_alarms","total_suppression_units","total_suppression_personnel","total_ems_units","total_ems_personnel","total_other_units","total_other_personnel","total_fire_fatalities","total_fire_injuries","total_civilian_fatalities","total_civilian_injuries","total_number_of_alarms"
"2020-04-19","1",B07,4,4,28,98,4,7,3,6,0,0,0,0,4
"2020-04-19","10",B09,1,1,3,11,2,3,0,0,0,0,0,0,1
"2020-04-19","10",B10,5,5,5,21,0,0,0,0,0,0,0,0,5
"2020-04-19","11",B09,1,1,1,4,0,0,0,0,0,0,0,0,1
"2020-04-19","2",B01,1,1,1,4,0,0,0,0,0,0,0,0,1
"2020-04-19","2",B04,4,4,9,29,0,0,0,0,0,0,0,0,4
"2020-04-19","3",B01,4,4,11,42,2,3,0,0,0,0,0,0,4
"2020-04-19","3",B03,2,2,2,8,0,0,0,0,0,0,0,0,2
"2020-04-19","3",B04,2,2,12,43,1,2,2,4,0,0,0,0,2
"2020-04-19","4",B07,1,1,4,14,0,0,0,0,0,0,0,0,1
"2020-04-19","4",B08,3,3,6,23,0,0,0,0,0,0,0,0,3
"2020-04-19","5",B02,3,3,7,25,0,0,0,0,0,0,0,0,3
"2020-04-19","5",B03,1,1,3,11,0,0,0,0,0,0,0,0,1
"2020-04-19","5",B04,1,1,1,5,0,0,0,0,0,0,0,0,1
"2020-04-19","5",B05,5,5,11,40,0,0,0,0,0,0,0,0,5
"2020-04-19","6",B02,4,4,10,38,0,0,0,0,0,0,0,0,4
"2020-04-19","6",B03,7,7,17,59,0,0,0,0,0,0,0,0,7
"2020-04-19","7",B07,1,1,1,4,0,0,0,0,0,0,0,0,1
"2020-04-19","7",B08,4,4,10,37,0,0,0,0,0,0,0,0,4
"2020-04-19","7",B09,4,4,8,31,0,0,0,0,0,0,0,0,4
"2020-04-19","8",B05,5,5,8,31,1,2,0,0,0,0,0,0,5
"2020-04-19","8",B06,3,3,9,30,0,0,0,0,0,0,0,0,3
"2020-04-19","9",B06,2,2,4,14,0,0,0,0,0,0,0,0,2
"2020-04-20","1",B07,1,1,1,4,0,0,0,0,0,0,0,0,1
"2020-04-20","10",B10,6,6,25,89,4,7,2,4,0,0,0,0,6
"2020-04-20","11",B09,3,3,3,13,1,2,0,0,0,0,0,0,3
"2020-04-20","2",B07,2,2,9,33,1,2,1,2,0,0,0,0,2
"2020-04-20","3",B01,6,6,21,84,4,5,0,0,0,0,0,0,6
"2020-04-20","3",B03,4,4,6,23,1,2,0,0,0,0,0,0,4
"2020-04-20","3",B04,4,4,12,41,0,0,0,0,0,0,0,0,4
"2020-04-20","4",B08,3,3,10,36,3,5,1,2,0,0,0,0,3
"2020-04-20","5",B02,5,5,11,43,1,2,1,1,0,0,0,0,5
"2020-04-20","5",B05,2,2,6,20,0,0,0,0,0,0,0,0,2
"2020-04-20","6",B01,1,1,3,10,0,0,0,0,0,0,0,0,1
"2020-04-20","6",B03,6,6,18,61,2,3,0,0,0,0,0,0,6
"2020-04-20","7",B08,3,3,7,25,0,0,0,0,0,0,0,0,3
"2020-04-20","8",B02,2,2,6,21,0,0,0,0,0,0,0,0,2
"2020-04-20","8",B05,2,2,2,9,0,0,0,0,0,0,0,0,2
"2020-04-20","8",B06,1,1,3,10,0,0,0,0,0,0,0,0,1
"2020-04-20","9",B02,2,2,4,14,4,7,1,2,0,0,0,0,2
"2020-04-20","9",B06,5,5,17,62,1,2,1,2,0,0,0,0,5
"2020-04-21","1",B07,3,3,6,23,0,0,0,0,0,0,0,0,3
"2020-04-21","10",B02,1,1,3,10,0,0,0,0,0,0,0,0,1
"2020-04-21","10",B03,1,1,3,10,0,0,0,0,0,0,0,0,1
"2020-04-21","10",B10,8,8,13,48,9,16,0,0,0,0,0,0,8
"2020-04-21","11",B09,3,3,5,19,0,0,0,0,0,0,0,0,3
"2020-04-21","2",B02,1,1,3,11,0,0,0,0,0,0,0,0,1
"2020-04-21","2",B04,3,3,13,47,1,1,0,0,0,0,0,0,3
"2020-04-21","2",B05,4,4,9,32,0,0,0,0,0,0,0,0,4
"2020-04-21","3",B01,8,8,18,70,1,1,0,0,0,0,0,0,8
"2020-04-21","3",B04,2,2,13,48,1,2,1,2,0,0,0,0,2
"2020-04-21","4",B08,4,4,7,24,2,3,0,0,0,0,0,0,4
"2020-04-21","5",B01,1,1,3,11,5,9,0,0,0,0,0,0,1
"2020-04-21","5",B02,7,7,19,71,1,2,1,2,0,0,0,0,7
"2020-04-21","5",B05,1,1,3,10,0,0,0,0,0,0,0,0,1
"2020-04-21","6",B02,5,5,9,35,0,0,0,0,0,0,0,0,5
"2020-04-21","6",B03,6,6,23,85,5,9,2,4,0,0,0,0,6
"2020-04-21","7",B05,1,1,3,10,0,0,0,0,0,0,0,0,1
"2020-04-21","7",B08,2,2,5,15,0,0,0,0,0,0,0,0,2
"2020-04-21","7",B09,2,2,2,8,0,0,0,0,0,0,0,0,2
"2020-04-21","8",B02,1,1,3,10,0,0,0,0,0,0,0,0,1
"2020-04-21","8",B05,3,3,5,18,0,0,0,0,0,0,0,0,3
"2020-04-21","8",B06,2,2,3,11,1,2,0,0,0,0,0,0,2
"2020-04-21","9",B02,3,3,5,19,1,2,0,0,0,0,0,0,3
"2020-04-21","9",B06,2,2,2,8,0,0,0,0,0,0,0,0,2
"2020-04-21","9",B10,1,1,4,14,2,3,0,0,0,0,0,0,1
"2020-04-22","1",B05,2,2,4,14,0,0,0,0,0,0,0,0,2
"2020-04-22","1",B07,1,1,1,5,0,0,0,0,0,0,0,0,1
"2020-04-22","10",B09,2,2,4,15,0,0,0,0,0,0,0,0,2
"2020-04-22","10",B10,8,8,18,65,4,7,0,0,0,0,0,0,8
"2020-04-22","2",B04,5,5,9,33,0,0,0,0,0,0,0,0,5
"2020-04-22","2",B05,1,1,1,4,0,0,0,0,0,0,0,0,1
"2020-04-22","2",B07,1,1,1,4,0,0,0,0,0,0,0,0,1
"2020-04-22","3",B01,9,9,34,126,3,6,1,2,0,0,0,0,9
"2020-04-22","3",B04,1,1,5,18,0,0,0,0,0,0,0,0,1
"2020-04-22","4",B08,1,1,1,5,0,0,0,0,0,0,0,0,1
"2020-04-22","5",B01,1,1,3,11,0,0,0,0,0,0,0,0,1
"2020-04-22","5",B02,4,4,6,23,0,0,0,0,0,0,0,0,4
"2020-04-22","5",B04,1,1,8,29,1,2,1,2,0,0,0,0,1
"2020-04-22","5",B05,3,3,6,23,0,0,0,0,0,0,0,0,3
"2020-04-22","6",B02,4,4,11,41,0,0,0,0,0,0,0,0,4
"2020-04-22","6",B03,6,6,12,44,0,0,0,0,0,0,0,0,6
"2020-04-22","7",B05,1,1,1,5,0,0,0,0,0,0,0,0,1
"2020-04-22","7",B08,6,6,14,50,0,0,0,0,0,0,0,0,6
"2020-04-22","8",B02,2,2,9,33,1,2,2,3,0,0,0,0,2
"2020-04-22","8",B05,4,4,8,30,1,2,0,0,0,0,0,0,4
"2020-04-22","8",B06,2,2,4,14,0,0,0,0,0,0,0,0,2
"2020-04-22","8",B09,1,1,1,4,0,0,0,0,0,0,0,0,1
"2020-04-22","9",B02,3,3,6,24,0,0,1,1,0,0,0,0,3
"2020-04-22","9",B06,4,4,8,28,0,0,0,0,0,0,0,0,4
"2020-04-22","9",B09,1,1,2,8,1,2,0,0,0,0,0,0,1
"2020-04-22","9",B10,2,2,5,18,0,0,0,0,0,0,0,0,2
"2020-04-23","1",B07,5,5,30,107,3,6,3,6,0,0,0,0,5
"2020-04-23","10",B09,1,1,1,11,0,0,0,0,0,0,0,0,1
"2020-04-23","10",B10,6,6,9,34,2,4,0,0,0,0,0,0,6
"2020-04-23","11",B09,2,2,4,15,1,2,0,0,0,0,0,0,2
"2020-04-23","2",B04,4,4,8,29,0,0,0,0,0,0,0,0,4
"2020-04-23","3",B01,2,2,11,40,1,2,1,2,0,0,0,0,2
"2020-04-23","3",B03,1,1,3,11,2,3,0,0,0,0,0,0,1
"2020-04-23","3",B04,2,2,4,15,0,0,0,0,0,0,0,0,2
"2020-04-23","4",B08,1,1,1,4,0,0,0,0,0,0,0,0,1
"2020-04-23","5",B02,7,7,19,71,2,3,0,0,0,0,0,0,7
"2020-04-23","5",B03,9,9,20,78,1,1,0,0,0,0,0,0,9
"2020-04-23","5",B04,4,4,10,35,0,0,0,0,0,0,0,0,4
"2020-04-23","5",B05,2,2,3,13,1,2,0,0,0,0,0,0,2
"2020-04-23","6",B02,1,1,1,4,0,0,0,0,0,0,0,0,1
"2020-04-23","6",B03,4,4,7,28,0,0,0,0,0,0,0,0,4
"2020-04-23","7",B08,3,3,7,24,1,2,0,0,0,0,0,0,3
"2020-04-23","7",B09,1,1,3,11,0,0,0,0,0,0,0,0,1
"2020-04-23","8",B06,3,3,7,24,0,0,0,0,0,0,0,0,3
"2020-04-23","8",B09,1,1,1,4,0,0,0,0,0,0,0,0,1
"2020-04-23","9",B02,2,2,4,15,0,0,0,0,0,0,0,0,2
"2020-04-23","9",B06,2,2,4,14,0,0,0,0,0,0,0,0,2
"2020-04-23","9",B10,1,1,2,5,0,0,0,0,0,0,0,0,1
"2020-04-24","1",B05,1,1,1,4,0,0,0,0,0,0,0,0,1
"2020-04-24","1",B07,5,5,21,73,4,7,2,4,0,0,0,0,5
"2020-04-24","10",B02,3,3,8,29,0,0,0,0,0,0,0,0,3
"2020-04-24","10",B03,1,1,4,11,0,0,0,0,0,0,0,0,1
"2020-04-24","10",B09,1,1,1,4,0,0,0,0,0,0,0,0,1
"2020-04-24","10",B10,1,1,3,10,0,0,0,0,0,0,0,0,1
"2020-04-24","11",B09,1,1,3,11,0,0,0,0,0,0,0,0,1
"2020-04-24","2",B04,6,6,19,64,1,2,0,0,0,0,0,0,6
"2020-04-24","2",B05,1,1,9,32,1,2,1,2,0,0,0,0,1
"2020-04-24","2",B07,1,1,3,10,0,0,0,0,0,0,0,0,1
"2020-04-24","3",B01,8,8,27,102,1,2,1,2,0,0,0,0,8
"2020-04-24","3",B03,1,1,3,11,0,0,0,0,0,0,0,0,1
"2020-04-24","3",B04,3,3,7,25,0,0,0,0,0,0,0,0,3
"2020-04-24","4",B08,2,2,2,9,0,0,0,0,0,0,0,0,2
"2020-04-24","5",B02,3,3,6,25,0,0,0,0,0,0,0,0,3
"2020-04-24","5",B03,1,1,3,11,0,0,0,0,0,0,0,0,1
"2020-04-24","5",B04,1,1,1,4,0,0,0,0,0,0,0,0,1
"2020-04-24","5",B05,5,5,11,42,1,1,0,0,0,0,0,0,5
"2020-04-24","6",B02,2,2,5,20,0,0,0,0,0,0,0,0,2
"2020-04-24","6",B03,6,6,19,69,2,4,1,2,0,0,0,0,6
"2020-04-24","7",B08,6,6,26,96,3,5,2,4,0,0,0,0,6
"2020-04-24","7",B09,2,2,9,34,1,2,1,2,0,0,0,0,2
"2020-04-24","8",B02,1,1,3,10,0,0,0,0,0,0,0,0,1
"2020-04-24","8",B05,4,4,7,31,0,0,0,0,0,0,0,0,4
"2020-04-24","8",B06,5,5,7,27,1,2,0,0,0,0,0,0,5
"2020-04-24","9",B02,2,2,2,8,1,2,0,0,0,0,0,0,2
"2020-04-24","9",B06,3,3,7,24,0,0,0,0,0,0,0,0,3
"2020-04-24","9",B09,2,2,6,20,0,0,0,0,0,0,0,0,2
"2020-04-24","9",B10,1,1,1,4,0,0,0,0,0,0,0,0,1
"2020-04-25","1",B07,1,1,1,4,0,0,0,0,0,0,0,0,1
"2020-04-25","10",B09,1,1,4,15,2,3,0,0,0,0,0,0,1
"2020-04-25","10",B10,4,4,13,46,1,2,1,2,0,0,0,0,4
"2020-04-25","11",B09,2,2,11,40,1,2,1,2,0,0,0,0,2
"2020-04-25","2",B01,1,1,4,15,2,3,0,0,0,0,0,0,1
"2020-04-25","2",B04,1,1,9,34,1,2,1,2,0,0,0,0,1
"2020-04-25","3",B01,5,5,13,51,0,0,0,0,0,0,0,0,5
"2020-04-25","3",B03,1,1,3,11,0,0,0,0,0,0,0,0,1
"2020-04-25","3",B04,5,5,22,78,2,4,1,2,0,0,0,0,5
"2020-04-25","4",B08,1,1,1,4,1,2,0,0,0,0,0,0,1
"2020-04-25","5",B02,2,2,6,21,0,0,0,0,0,0,0,0,2
"2020-04-25","5",B03,3,3,8,32,0,0,0,0,0,0,0,0,3
"2020-04-25","5",B05,3,3,5,19,0,0,0,0,0,0,0,0,3
"2020-04-25","6",B01,1,1,3,10,0,0,0,0,0,0,0,0,1
"2020-04-25","6",B02,4,4,4,17,1,2,0,0,0,0,0,0,4
"2020-04-25","6",B03,6,6,12,46,0,0,0,0,0,0,0,0,6
"2020-04-25","7",B08,3,3,3,12,1,2,0,0,0,0,0,0,3
"2020-04-25","7",B09,1,1,1,4,0,0,0,0,0,0,0,0,1
"2020-04-25","8",B02,2,2,4,14,0,0,0,0,0,0,0,0,2
"2020-04-25","8",B05,3,3,7,26,0,0,0,0,0,0,0,0,3
"2020-04-25","8",B06,1,1,1,4,0,0,0,0,0,0,0,0,1
"2020-04-25","9",B02,3,3,3,12,0,0,0,0,0,0,0,0,3
"2020-04-25","9",B06,3,3,9,30,0,0,0,0,0,0,0,0,3
"2020-04-26","1",B07,3,3,9,30,0,0,0,0,0,0,0,0,3
"2020-04-26","10",B03,1,1,3,10,0,0,0,0,0,0,0,0,1
"2020-04-26","10",B10,7,7,8,34,1,2,0,0,0,0,0,0,7
"2020-04-26","2",B04,7,7,18,60,0,0,0,0,0,0,0,0,7
"2020-04-26","3",B01,11,11,31,125,1,2,1,2,0,0,0,0,11
"2020-04-26","3",B04,1,1,1,5,0,0,0,0,0,0,0,0,1
"2020-04-26","4",B08,7,7,16,57,0,0,0,0,0,0,0,0,7
"2020-04-26","5",B02,4,4,11,42,1,1,0,0,0,0,0,0,4
"2020-04-26","5",B03,5,5,13,49,0,0,0,0,0,0,0,0,5
"2020-04-26","5",B04,4,4,10,31,1,2,0,0,0,0,0,0,4
"2020-04-26","5",B05,4,4,7,27,0,0,0,0,0,0,0,0,4
"2020-04-26","6",B02,4,4,6,24,0,0,0,0,0,0,0,0,4
"2020-04-26","6",B03,3,3,10,34,0,0,0,0,0,0,0,0,3
"2020-04-26","7",B05,1,1,3,10,0,0,0,0,0,0,0,0,1
"2020-04-26","7",B08,4,4,8,29,2,4,0,0,0,0,0,0,4
"2020-04-26","7",B09,1,1,3,11,0,0,0,0,0,0,0,0,1
"2020-04-26","8",B02,1,1,1,4,0,0,0,0,0,0,0,0,1
"2020-04-26","8",B06,2,2,1,4,1,2,0,0,0,0,0,0,2
"2020-04-26","9",B02,2,2,2,9,0,0,0,0,0,0,0,0,2
"2020-04-26","9",B06,2,2,4,14,0,0,0,0,0,0,0,0,2
"2020-04-26","9",B09,1,1,1,4,0,0,0,0,0,0,0,0,1
"2020-04-27","1",B07,2,2,8,28,2,2,0,0,0,0,0,0,2
"2020-04-27","10",B10,7,7,22,79,5,9,1,2,0,0,0,0,7
"2020-04-27","11",B09,4,4,11,44,1,2,0,0,0,0,0,0,4
"2020-04-27","2",B02,1,1,1,4,0,0,0,0,0,0,0,0,1
"2020-04-27","2",B04,5,5,15,50,0,0,0,0,0,0,0,0,5
"2020-04-27","3",B01,4,4,11,42,0,0,0,0,0,0,0,0,4
"2020-04-27","3",B04,3,3,3,14,0,0,0,0,0,0,0,0,3
"2020-04-27","4",B08,3,3,12,43,2,4,1,2,0,0,0,0,3
"2020-04-27","5",B02,7,7,16,62,0,0,0,0,0,0,0,0,7
"2020-04-27","5",B05,6,6,20,72,1,2,1,2,0,0,0,0,6
"2020-04-27","6",B02,6,6,9,38,2,4,1,1,0,0,0,0,6
"2020-04-27","6",B03,7,7,9,39,0,0,0,0,0,0,0,0,7
"2020-04-27","7",B08,4,4,7,25,1,2,0,0,0,0,0,0,4
"2020-04-27","7",B09,1,1,1,4,2,4,0,0,0,0,0,0,1
"2020-04-27","8",B05,1,1,3,10,0,0,0,0,0,0,0,0,1
"2020-04-27","9",B02,3,3,13,49,1,2,1,2,0,0,0,0,3
"2020-04-27","9",B06,4,4,10,35,0,0,0,0,0,0,0,0,4
"2020-04-27","9",B09,1,1,1,4,0,0,0,0,0,0,0,0,1
"2020-04-27","9",B10,1,1,2,5,0,0,0,0,0,0,0,0,1
"2020-04-28","1",B07,5,5,11,39,1,2,0,0,0,0,0,0,5
"2020-04-28","10",B10,11,11,27,92,1,2,0,0,0,0,0,0,11
"2020-04-28","11",B09,2,2,2,8,1,2,0,0,0,0,0,0,2
"2020-04-28","2",B04,6,6,11,41,0,0,0,0,0,0,0,0,6
"2020-04-28","3",B01,7,7,16,63,0,0,0,0,0,0,0,0,7
"2020-04-28","3",B04,1,1,2,5,1,2,0,0,0,0,0,0,1
"2020-04-28","4",B08,3,3,3,12,1,2,0,0,0,0,0,0,3
"2020-04-28","5",B02,8,8,34,125,2,4,2,4,0,0,0,0,8
"2020-04-28","5",B03,1,1,1,5,0,0,0,0,0,0,0,0,1
"2020-04-28","5",B04,2,2,4,14,0,0,0,0,0,0,0,0,2
"2020-04-28","5",B05,1,1,2,9,0,0,0,0,0,0,0,0,1
"2020-04-28","6",B01,1,1,3,10,0,0,0,0,0,0,0,0,1
"2020-04-28","6",B02,2,2,11,42,1,2,1,2,0,0,0,0,2
"2020-04-28","6",B03,5,5,18,64,5,9,0,0,0,0,0,0,5
"2020-04-28","7",B08,5,5,11,39,2,3,0,0,0,0,0,0,5
"2020-04-28","7",B09,1,1,3,11,0,0,0,0,0,0,0,0,1
"2020-04-28","8",B02,2,2,2,8,0,0,1,1,0,0,0,0,2
"2020-04-28","8",B05,1,1,3,11,0,0,0,0,0,0,0,0,1
"2020-04-28","8",B06,1,1,1,4,0,0,0,0,0,0,0,0,1
"2020-04-28","9",B02,1,1,1,4,1,2,0,0,0,0,0,0,1
"2020-04-28","9",B06,4,4,6,22,0,0,0,0,0,0,0,0,4
"2020-04-29","1",B07,4,4,7,27,0,0,0,0,0,0,0,0,4
"2020-04-29","10",B09,2,2,4,15,2,3,0,0,0,0,0,0,2
"2020-04-29","10",B10,7,7,14,52,2,3,0,0,0,0,0,0,7
"2020-04-29","11",B09,3,3,7,26,0,0,0,0,0,0,0,0,3
"2020-04-29","2",B04,3,3,9,30,0,0,0,0,0,0,0,0,3
"2020-04-29","2",B05,1,1,3,10,0,0,0,0,0,0,0,0,1
"2020-04-29","3",B01,7,7,19,71,0,0,0,0,0,0,0,0,7
"2020-04-29","3",B04,1,1,1,4,0,0,0,0,0,0,0,0,1
"2020-04-29","4",B08,1,1,2,9,0,0,0,0,0,0,0,0,1
"2020-04-29","5",B02,3,3,5,20,0,0,0,0,0,0,0,0,3
"2020-04-29","5",B03,5,5,8,34,2,3,0,0,0,0,0,0,5
"2020-04-29","5",B04,3,3,8,30,0,0,0,0,0,0,0,0,3
"2020-04-29","5",B05,3,3,7,24,2,3,0,0,0,0,0,0,3
"2020-04-29","6",B01,1,1,1,5,0,0,0,0,0,0,0,0,1
"2020-04-29","6",B02,8,8,12,46,5,9,0,0,0,0,0,0,8
"2020-04-29","6",B03,9,9,19,69,0,0,0,0,0,0,0,0,9
"2020-04-29","7",B08,1,1,3,10,0,0,0,0,0,0,0,0,1
"2020-04-29","8",B02,2,2,2,8,1,2,0,0,0,0,0,0,2
"2020-04-29","8",B05,1,1,1,4,0,0,0,0,0,0,0,0,1
"2020-04-29","8",B06,4,4,6,24,1,2,0,0,0,0,0,0,4
"2020-04-29","9",B02,1,1,2,9,0,0,0,0,0,0,0,0,1
"2020-04-29","9",B06,2,2,2,9,0,0,0,0,0,0,0,0,2
"2020-04-29","9",B10,1,1,3,10,0,0,0,0,0,0,0,0,1
"2020-04-30","1",B07,5,5,12,44,1,1,0,0,0,0,0,0,5
"2020-04-30","10",B02,1,1,1,4,1,2,0,0,0,0,0,0,1
"2020-04-30","10",B10,7,7,13,47,2,4,0,0,0,0,0,0,7
"2020-04-30","11",B09,3,3,10,37,1,2,2,4,0,0,0,0,3
"2020-04-30","2",B01,1,1,1,4,0,0,0,0,0,0,0,0,1
"2020-04-30","2",B04,4,4,16,57,1,2,1,2,0,0,0,0,4
"2020-04-30","2",B05,1,1,1,4,0,0,0,0,0,0,0,0,1
"2020-04-30","3",B01,7,7,18,70,1,2,1,2,0,0,0,0,7
"2020-04-30","3",B03,3,3,9,33,0,0,0,0,0,0,0,0,3
"2020-04-30","3",B04,3,3,5,20,0,0,0,0,0,0,0,0,3
"2020-04-30","4",B08,6,6,16,63,2,3,0,0,0,0,0,0,6
"2020-04-30","5",B02,3,3,13,49,2,4,1,2,0,0,0,0,3
"2020-04-30","5",B03,2,2,5,19,0,0,0,0,0,0,0,0,2
"2020-04-30","5",B04,2,2,4,16,0,0,0,0,0,0,0,0,2
"2020-04-30","5",B05,2,2,6,20,0,0,0,0,0,0,0,0,2
"2020-04-30","6",B02,7,7,24,92,1,2,1,2,0,0,0,0,7
"2020-04-30","6",B03,7,7,21,73,2,3,0,0,0,0,0,0,7
"2020-04-30","7",B08,6,6,17,64,1,2,0,0,0,0,0,0,6
"2020-04-30","7",B09,1,1,3,11,0,0,0,0,0,0,0,0,1
"2020-04-30","8",B02,2,2,4,16,0,0,0,0,0,0,0,0,2
"2020-04-30","8",B05,1,1,2,9,1,2,0,0,0,0,0,0,1
"2020-04-30","8",B06,1,1,3,10,0,0,0,0,0,0,0,0,1
"2020-04-30","9",B02,3,3,3,12,5,8,0,0,0,0,0,0,3
"2020-04-30","9",B06,1,1,1,4,0,0,0,0,0,0,0,0,1
"2020-04-30","9",B09,1,1,1,4,0,0,0,0,0,0,0,0,1
"2020-04-30","9",B10,2,2,6,21,0,0,0,0,0,0,0,0,2
"2020-05-01","1",B07,5,5,17,60,3,5,1,2,0,0,0,0,5
"2020-05-01","10",B03,2,2,2,8,3,4,0,0,0,0,0,0,2
"2020-05-01","10",B10,4,4,6,26,1,2,0,0,0,0,0,0,4
"2020-05-01","11",B09,6,6,15,57,5,9,1,2,0,0,0,0,6
"2020-05-01","2",B04,3,3,12,43,2,4,1,2,0,0,0,0,3
"2020-05-01","3",B01,8,8,27,100,1,2,1,2,0,0,0,0,8
"2020-05-01","3",B04,2,2,2,10,0,0,0,0,0,0,0,0,2
"2020-05-01","4",B08,1,1,2,9,0,0,0,0,0,0,0,0,1
"2020-05-01","5",B02,7,7,22,79,0,0,0,0,0,0,0,0,7
"2020-05-01","5",B03,3,3,6,25,0,0,0,0,0,0,0,0,3
"2020-05-01","5",B04,4,4,6,25,2,3,0,0,0,0,0,0,4
"2020-05-01","5",B05,5,5,20,68,3,5,2,3,0,0,0,1,5
"2020-05-01","6",B01,1,1,8,29,1,2,1,2,0,0,0,0,1
"2020-05-01","6",B02,4,4,6,23,1,2,0,0,0,0,0,0,4
"2020-05-01","6",B03,3,3,16,60,3,5,1,2,0,0,0,0,3
"2020-05-01","7",B05,1,1,4,11,0,0,0,0,0,0,0,0,1
"2020-05-01","7",B08,3,3,3,13,2,4,0,0,0,0,0,0,3
"2020-05-01","8",B02,3,3,9,33,3,4,0,0,0,0,0,0,3
"2020-05-01","8",B05,2,2,9,33,2,4,1,2,0,0,0,0,2
"2020-05-01","8",B06,2,2,4,14,2,4,0,0,0,0,0,0,2
"2020-05-01","9",B02,7,7,17,66,4,6,0,0,0,0,0,0,7
"2020-05-01","9",B06,2,2,7,24,0,0,0,0,0,0,0,0,2
"2020-05-01","9",B10,2,2,7,24,2,3,0,0,0,0,0,0,2
"2020-05-02","1",B07,2,2,3,12,1,2,0,0,0,0,0,0,2
"2020-05-02","10",B10,1,1,3,10,0,0,0,0,0,0,0,0,1
"2020-05-02","11",B09,1,1,4,15,2,3,0,0,0,0,0,0,1
"2020-05-02","2",B01,1,1,3,11,0,0,0,0,0,0,0,0,1
"2020-05-02","2",B04,6,6,18,66,2,3,0,0,0,0,0,0,6
"2020-05-02","2",B05,1,1,1,5,0,0,0,0,0,0,0,0,1
"2020-05-02","2",B07,1,1,3,10,0,0,0,0,0,0,0,0,1
"2020-05-02","3",B01,11,11,27,111,0,0,0,0,0,0,0,0,11
"2020-05-02","3",B04,2,2,2,9,0,0,0,0,0,0,0,0,2
"2020-05-02","4",B08,7,7,18,74,2,3,0,0,0,0,0,0,7
"2020-05-02","5",B02,6,6,12,46,1,2,0,0,0,0,0,0,6
"2020-05-02","5",B03,3,3,3,14,0,0,0,0,0,0,0,0,3
"2020-05-02","5",B05,4,4,16,58,3,5,1,2,0,0,0,0,4
"2020-05-02","6",B02,6,6,14,52,1,2,0,0,0,0,0,0,6
"2020-05-02","6",B03,5,5,9,34,0,0,0,0,0,0,0,0,5
"2020-05-02","6",B10,1,1,5,18,3,5,0,0,0,0,0,0,1
"2020-05-02","7",B08,1,1,4,14,2,3,0,0,0,0,0,0,1
"2020-05-02","7",B09,2,2,6,22,0,0,0,0,0,0,0,0,2
"2020-05-02","8",B02,1,1,1,4,0,0,0,0,0,0,0,0,1
"2020-05-02","8",B09,1,1,3,10,0,0,0,0,0,0,0,0,1
"2020-05-02","9",B02,6,6,14,54,3,6,1,2,0,0,0,0,6
"2020-05-02","9",B06,4,4,10,34,0,0,0,0,0,0,0,0,4
"2020-05-02","9",B09,2,2,3,9,0,0,0,0,0,0,0,0,2
"2020-05-02","9",B10,1,1,1,4,0,0,0,0,0,0,0,0,1
"2020-05-03","1",B07,3,3,7,24,1,2,0,0,0,0,0,0,3
"2020-05-03","10",B02,1,1,8,29,1,2,1,2,0,0,0,0,1
"2020-05-03","10",B03,2,2,6,20,0,0,0,0,0,0,0,0,2
"2020-05-03","10",B09,1,1,8,29,1,2,1,2,0,0,0,0,1
"2020-05-03","10",B10,6,6,10,36,1,2,0,0,0,0,0,0,6
"2020-05-03","11",B09,2,2,14,50,1,2,1,2,0,0,0,0,2
"2020-05-03","2",B04,3,3,12,43,1,2,1,2,0,0,0,0,3
"2020-05-03","3",B01,8,8,18,70,0,0,0,0,0,0,0,0,8
"2020-05-03","3",B03,1,1,4,13,2,3,0,0,0,0,0,0,1
"2020-05-03","3",B04,3,3,9,34,2,3,0,0,0,0,0,0,3
"2020-05-03","5",B02,4,4,7,29,0,0,0,0,0,0,0,0,4
"2020-05-03","5",B03,3,3,10,37,0,0,0,0,0,0,0,0,3
"2020-05-03","5",B04,1,1,1,4,0,0,0,0,0,0,0,0,1
"2020-05-03","6",B02,1,1,3,11,0,0,0,0,0,0,0,0,1
"2020-05-03","6",B03,10,10,20,75,3,5,0,0,0,0,0,0,10
"2020-05-03","7",B08,1,1,1,4,0,0,0,0,0,0,0,0,1
"2020-05-03","7",B09,1,1,3,11,0,0,0,0,0,0,0,0,1
"2020-05-03","8",B02,3,3,12,44,3,5,2,3,0,0,0,0,3
"2020-05-03","8",B05,2,2,13,49,1,2,1,2,0,0,0,0,2
"2020-05-03","8",B06,2,2,4,14,0,0,0,0,0,0,0,0,2
"2020-05-03","9",B02,4,4,5,21,0,0,0,0,0,0,0,0,4
"2020-05-03","9",B06,5,5,8,29,0,0,0,0,0,0,0,0,5
"2020-05-03","9",B09,1,1,1,4,0,0,0,0,0,0,0,0,1
"2020-05-04","1",B07,12,12,37,128,3,5,1,1,0,0,0,0,12
"2020-05-04","10",B02,1,1,4,14,0,0,0,0,0,0,0,0,1
"2020-05-04","10",B03,2,2,2,9,1,2,0,0,0,0,0,0,2
"2020-05-04","10",B10,5,5,12,42,4,7,0,0,0,0,0,0,5
"2020-05-04","11",B09,5,5,8,32,1,2,0,0,0,0,0,0,5
"2020-05-04","2",B04,6,6,14,49,0,0,0,0,0,0,0,0,6
"2020-05-04","3",B01,5,5,13,48,0,0,0,0,0,0,0,0,5
"2020-05-04","3",B04,3,3,7,25,1,2,0,0,0,0,0,0,3
"2020-05-04","4",B08,7,7,21,75,3,5,1,2,0,0,0,0,7
